RNN Model Metrics
=================
Accuracy: 0.07483723958333334
Precision: [0.06187066 0.061871   0.06187133 ... 1.         1.         1.        ]
Recall: [1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 1.75377061e-04
 8.76885303e-05 0.00000000e+00]
F1 Score: 0.04215694799577212
Confusion Matrix:
[77, 0, 7765, 0, 0, 455, 737, 143, 1216, 0, 0, 132, 277, 291, 0, 340]
[0, 0, 7599, 0, 0, 430, 1043, 81, 1151, 0, 0, 145, 124, 500, 0, 489]
[0, 0, 8510, 0, 0, 446, 715, 65, 1096, 0, 0, 82, 118, 302, 0, 186]
[0, 0, 8002, 71, 0, 402, 1001, 59, 1349, 0, 0, 148, 146, 345, 0, 186]
[17, 0, 8205, 0, 3, 440, 708, 134, 996, 0, 0, 178, 155, 447, 0, 224]
[0, 0, 8612, 0, 0, 778, 646, 13, 732, 0, 0, 89, 218, 375, 0, 65]
[0, 0, 8964, 0, 0, 293, 836, 159, 785, 0, 0, 63, 91, 265, 0, 137]
[0, 0, 7839, 0, 0, 520, 982, 247, 1085, 0, 0, 108, 215, 300, 0, 337]
[1, 0, 7673, 0, 0, 721, 742, 86, 1361, 0, 0, 125, 64, 356, 0, 438]
[2, 0, 8425, 0, 0, 366, 619, 136, 851, 77, 0, 81, 126, 336, 0, 353]
[0, 0, 8271, 0, 2, 376, 798, 58, 1147, 0, 2, 105, 223, 335, 0, 92]
[0, 0, 7864, 0, 0, 566, 811, 66, 1143, 0, 0, 284, 109, 425, 0, 274]
[0, 0, 8459, 0, 0, 396, 624, 67, 1314, 0, 0, 107, 261, 288, 0, 99]
[0, 0, 8251, 0, 0, 286, 725, 37, 826, 0, 0, 120, 154, 859, 0, 154]
[0, 0, 8370, 0, 0, 192, 860, 133, 1043, 0, 0, 44, 211, 368, 6, 287]
[0, 0, 7093, 0, 0, 560, 1481, 87, 1104, 13, 0, 97, 246, 301, 0, 422]
