Counter,Channel1
17,-0.009765625
18,0.005859375
19,0.00390625
20,0
21,0.001953125
22,0.0078125
23,0.01171875
24,0.017578125
25,0.0078125
26,0.00390625
27,0.0078125
28,0.01171875
29,0.013671875
30,0.013671875
31,0.001953125
32,-0.0078125
33,-0.021484375
34,-0.0234375
35,-0.01171875
36,0.005859375
37,0.005859375
38,0.0078125
39,0.015625
40,-0.0078125
41,-0.015625
42,-0.005859375
43,-0.005859375
44,-0.009765625
45,-0.001953125
46,0.005859375
47,0.005859375
48,0.005859375
49,0
50,0.00390625
51,0
52,-0.021484375
53,-0.015625
54,-0.001953125
55,0.00390625
56,0.009765625
57,0.005859375
58,0.001953125
59,0.009765625
60,-0.005859375
61,-0.0078125
62,0
63,0.001953125
64,-0.009765625
65,-0.00390625
66,0.0078125
67,-0.001953125
68,-0.02734375
69,-0.013671875
70,-0.001953125
71,0.021484375
72,0.041015625
73,0.046875
74,0.0546875
75,0.064453125
76,0.072265625
77,0.080078125
78,0.0859375
79,0.087890625
80,0.078125
81,0.078125
82,0.08203125
83,0.078125
84,0.060546875
85,0.044921875
86,0.03515625
87,0.03515625
88,0.0390625
89,0.02734375
90,0.0390625
91,0.04296875
92,0.0390625
93,0.052734375
94,0.048828125
95,0.025390625
96,0.021484375
97,0.02734375
98,0.033203125
99,0.03515625
100,0.03515625
101,0.0390625
102,0.03515625
103,0.013671875
104,-0.0078125
105,0.013671875
106,0.025390625
107,0.04296875
108,0.037109375
109,0.029296875
110,0.021484375
111,0.01953125
112,0.009765625
113,0
114,-0.013671875
115,0.00390625
116,0.025390625
117,0.03515625
118,0.0390625
119,0.029296875
120,0.0234375
121,0.013671875
122,-0.001953125
123,-0.00390625
124,-0.001953125
125,-0.00390625
126,0.01171875
127,0.01953125
128,0.0234375
129,0.021484375
130,0.025390625
131,0.017578125
132,0.01171875
133,0
134,-0.001953125
135,-0.00390625
136,-0.009765625
137,-0.0078125
138,0.017578125
139,0.03515625
140,0.041015625
141,0.03515625
142,0.03125
